,AutoARIMA,N-BEATS,Prophet,Best model
FFKS200<45E,6.121951219512195,6.951219512195122,6.182926829268292,AutoARIMA
FFKS200<45E/16,2.5365853658536586,3.268292682926829,3.0,AutoARIMA
FFKS250<11E,1.9634146341463414,3.7195121951219514,2.048780487804878,AutoARIMA
FFKS250<11E/16,0.15853658536585366,1.8048780487804879,0.3048780487804878,AutoARIMA
FFKS250<22E,1.9878048780487805,2.9146341463414633,2.048780487804878,AutoARIMA
FFKS250<22E/16,0.24390243902439024,1.329268292682927,0.5121951219512195,AutoARIMA
FFKS250<30E,1.5853658536585367,2.9878048780487805,1.8902439024390243,AutoARIMA
FFKS250<30E/16,0.36585365853658536,2.658536585365854,0.7682926829268293,AutoARIMA
FFKS250<45E,3.341463414634146,4.829268292682927,3.7195121951219514,AutoARIMA
FFKS250<45E/16,1.475609756097561,2.292682926829268,1.2439024390243902,Prophet
FFKS300<11E,1.4878048780487805,2.2804878048780486,1.5365853658536586,AutoARIMA
FFKS300<11E/16,0.024390243902439025,1.3414634146341464,0.3170731707317073,AutoARIMA
FFKS300<22E,1.3170731707317074,1.9634146341463414,1.4146341463414633,AutoARIMA
FFKS300<22E/16,0.12195121951219512,1.353658536585366,0.13414634146341464,AutoARIMA
FFKS300<30E,1.7804878048780488,2.341463414634146,2.182926829268293,AutoARIMA
FFKS300<30E/16,0.2926829268292683,1.8658536585365855,0.5365853658536586,AutoARIMA
FFKS300<45E,3.1707317073170733,4.048780487804878,3.682926829268293,AutoARIMA
FFKS300<45E/16,1.646341463414634,2.4634146341463414,1.3658536585365855,Prophet
FFKS350<11E,0.04878048780487805,1.8780487804878048,0.07317073170731707,AutoARIMA
FFKS350<11E/16,0.0,1.1585365853658536,0.0,AutoARIMA
FFKS350<22E,0.3170731707317073,1.0,0.3170731707317073,AutoARIMA
FFKS350<22E/16,0.024390243902439025,1.1829268292682926,0.024390243902439025,AutoARIMA
FFKS350<30E,0.0975609756097561,1.4146341463414633,0.0975609756097561,AutoARIMA
FFKS350<30E/16,0.024390243902439025,1.0365853658536586,0.024390243902439025,AutoARIMA
FFKS350<45E,0.2926829268292683,2.1951219512195124,0.4268292682926829,AutoARIMA
FFKS350<45E/16,0.0975609756097561,0.9634146341463414,0.0975609756097561,AutoARIMA
FFKS400<11E,1.3414634146341464,2.9878048780487805,1.3170731707317074,Prophet
FFKS400<11E/16,0.07317073170731707,1.2560975609756098,0.21951219512195122,AutoARIMA
FFKS400<22E,0.43902439024390244,2.3780487804878048,1.170731707317073,AutoARIMA
FFKS400<22E/16,0.1951219512195122,1.4024390243902438,0.1951219512195122,AutoARIMA
FFKS400<30E,0.6341463414634146,2.4390243902439024,0.7073170731707317,AutoARIMA
FFKS400<30E/16,0.0975609756097561,1.0121951219512195,0.24390243902439024,AutoARIMA
FFKS400<45E,2.682926829268293,4.939024390243903,2.6463414634146343,Prophet
FFKS400<45E/16,0.5609756097560976,1.670731707317073,0.5975609756097561,AutoARIMA
FFKS450<22E/16,0.0,1.2926829268292683,0.012195121951219513,AutoARIMA
FFKS450<45E,0.024390243902439025,1.048780487804878,0.024390243902439025,AutoARIMA
FFKS450<45E/16,0.0,1.1219512195121952,0.0,AutoARIMA
FFKS500<11E,0.3902439024390244,1.6341463414634145,0.4634146341463415,AutoARIMA
FFKS500<11E/16,0.2926829268292683,1.4268292682926829,0.35365853658536583,AutoARIMA
FFKS500<22E,0.24390243902439024,1.524390243902439,0.36585365853658536,AutoARIMA
FFKS500<22E/16,0.1951219512195122,1.7560975609756098,0.2682926829268293,AutoARIMA
FFKS500<30E,0.24390243902439024,1.9024390243902438,0.4878048780487805,AutoARIMA
FFKS500<30E/16,0.07317073170731707,2.7560975609756095,0.07317073170731707,AutoARIMA
FFKS500<45E,1.170731707317073,2.707317073170732,0.975609756097561,Prophet
FFKS500<45E/16,0.1951219512195122,1.2804878048780488,0.35365853658536583,AutoARIMA
FFKS600<11E,0.21951219512195122,1.475609756097561,0.21951219512195122,AutoARIMA
FFKS600<11E/16,0.0,1.853658536585366,0.036585365853658534,AutoARIMA
FFKS600<22E,0.14634146341463414,1.170731707317073,0.14634146341463414,AutoARIMA
FFKS600<22E/16,0.0,1.170731707317073,0.0,AutoARIMA
FFKS600<30E,0.2682926829268293,2.207317073170732,0.35365853658536583,AutoARIMA
FFKS600<30E/16,0.024390243902439025,1.1951219512195121,0.12195121951219512,AutoARIMA
FFKS600<45E,1.3170731707317074,2.1951219512195124,1.0853658536585367,Prophet
FFKS600<45E/16,0.14634146341463414,1.3658536585365855,0.2804878048780488,AutoARIMA
FFKS700<11E,0.0,1.2804878048780488,0.0,AutoARIMA
FFKS700<11E/16,0.0,1.3414634146341464,0.0,AutoARIMA
FFKS700<22E/16,0.0,2.024390243902439,0.0,AutoARIMA
FFKS700<30E,0.0,1.7682926829268293,0.0,AutoARIMA
FFKS700<45E,0.12195121951219512,0.8780487804878049,0.12195121951219512,AutoARIMA
FFKS700<45E/16,0.0,2.0365853658536586,0.0,AutoARIMA
FFKS800<11E,0.12195121951219512,1.1829268292682926,0.12195121951219512,AutoARIMA
FFKS800<22E,0.07317073170731707,1.9634146341463414,0.12195121951219512,AutoARIMA
FFKS800<22E/16,0.0975609756097561,1.0975609756097562,0.0975609756097561,AutoARIMA
FFKS800<30E,0.04878048780487805,1.146341463414634,0.04878048780487805,AutoARIMA
FFKS800<45E,0.12195121951219512,1.6829268292682926,0.1951219512195122,AutoARIMA
FFKS800<45E/16,0.0975609756097561,2.4634146341463414,0.0975609756097561,AutoARIMA
FFRES150X100E,0.2682926829268293,1.5853658536585367,0.8780487804878049,AutoARIMA
FFRES200X150E,0.34146341463414637,1.4634146341463414,0.6829268292682927,AutoARIMA
FFRES250X150E/16,0.024390243902439025,1.2317073170731707,0.024390243902439025,AutoARIMA
FFRES300X150E,0.14634146341463414,2.1341463414634148,0.14634146341463414,AutoARIMA
FFRES400X150E,0.14634146341463414,1.5365853658536586,0.14634146341463414,AutoARIMA
FFRES400X150E/16,0.0,1.4878048780487805,0.0,AutoARIMA
FFRES400X300E,0.0,1.2317073170731707,0.0,AutoARIMA
FFRES500X150E,0.04878048780487805,1.4634146341463414,0.04878048780487805,AutoARIMA
FFRES600X200E,0.04878048780487805,1.3170731707317074,0.04878048780487805,AutoARIMA
FFRES600X300E,0.0,1.7195121951219512,0.0,AutoARIMA
FFRS050X40E,2.902439024390244,3.6097560975609757,3.0,AutoARIMA
FFRS065X50E,7.853658536585366,9.682926829268293,8.353658536585366,AutoARIMA
FFRS080X50E,60.829268292682926,69.20731707317073,73.91463414634147,AutoARIMA
FFRS080X65E,11.926829268292684,17.71951219512195,12.182926829268293,AutoARIMA
FFRS1000X600E,0.0,1.6219512195121952,0.0,AutoARIMA
FFRS1000X800E,0.34146341463414637,1.5121951219512195,0.43902439024390244,AutoARIMA
FFRS1000X800E/16,0.17073170731707318,1.9634146341463414,0.17073170731707318,AutoARIMA
FFRS1000X900E,0.04878048780487805,0.9024390243902439,0.04878048780487805,AutoARIMA
FFRS100X50E,24.390243902439025,33.670731707317074,26.573170731707318,AutoARIMA
FFRS100X65E,9.768292682926829,11.609756097560975,10.329268292682928,AutoARIMA
FFRS100X80E,53.4390243902439,62.207317073170735,54.03658536585366,AutoARIMA
FFRS1200X1000E,0.0975609756097561,1.2804878048780488,0.10975609756097561,AutoARIMA
FFRS1200X800E,0.07317073170731707,1.0975609756097562,0.07317073170731707,AutoARIMA
FFRS125X100E,7.146341463414634,9.5,7.646341463414634,AutoARIMA
